Recorded.Value..dBA.,Date,Time,location
68.2,2025-04-25,09:55:51.142,21st_littlefield_fountain
69.8,2025-04-25,09:55:51.352,21st_littlefield_fountain
70.8,2025-04-25,09:55:51.562,21st_littlefield_fountain
70.8,2025-04-25,09:55:51.772,21st_littlefield_fountain
69.2,2025-04-25,09:55:51.982,21st_littlefield_fountain
68.5,2025-04-25,09:55:52.192,21st_littlefield_fountain
71.9,2025-04-25,09:55:52.402,21st_littlefield_fountain
71.2,2025-04-25,09:55:52.612,21st_littlefield_fountain
71.2,2025-04-25,09:55:52.822,21st_littlefield_fountain
71.3,2025-04-25,09:55:53.032,21st_littlefield_fountain
75.5,2025-04-25,09:55:53.242,21st_littlefield_fountain
69.7,2025-04-25,09:55:53.452,21st_littlefield_fountain
71.7,2025-04-25,09:55:53.662,21st_littlefield_fountain
72.2,2025-04-25,09:55:53.872,21st_littlefield_fountain
74.5,2025-04-25,09:55:54.082,21st_littlefield_fountain
79.7,2025-04-25,09:55:54.292,21st_littlefield_fountain
71.7,2025-04-25,09:55:54.502,21st_littlefield_fountain
72.3,2025-04-25,09:55:54.712,21st_littlefield_fountain
72.0,2025-04-25,09:55:54.922,21st_littlefield_fountain
73.0,2025-04-25,09:55:55.132,21st_littlefield_fountain
73.7,2025-04-25,09:55:55.342,21st_littlefield_fountain
75.6,2025-04-25,09:55:55.552,21st_littlefield_fountain
77.1,2025-04-25,09:55:55.762,21st_littlefield_fountain
74.3,2025-04-25,09:55:55.972,21st_littlefield_fountain
70.0,2025-04-25,09:55:56.182,21st_littlefield_fountain
74.4,2025-04-25,09:55:56.392,21st_littlefield_fountain
71.7,2025-04-25,09:55:56.602,21st_littlefield_fountain
71.1,2025-04-25,09:55:56.812,21st_littlefield_fountain
70.7,2025-04-25,09:55:57.022,21st_littlefield_fountain
72.4,2025-04-25,09:55:57.232,21st_littlefield_fountain
72.0,2025-04-25,09:55:57.442,21st_littlefield_fountain
69.7,2025-04-25,09:55:57.652,21st_littlefield_fountain
69.4,2025-04-25,09:55:57.862,21st_littlefield_fountain
70.4,2025-04-25,09:55:58.072,21st_littlefield_fountain
70.9,2025-04-25,09:55:58.282,21st_littlefield_fountain
71.0,2025-04-25,09:55:58.492,21st_littlefield_fountain
71.1,2025-04-25,09:55:58.702,21st_littlefield_fountain
72.1,2025-04-25,09:55:58.912,21st_littlefield_fountain
71.3,2025-04-25,09:55:59.122,21st_littlefield_fountain
70.4,2025-04-25,09:55:59.332,21st_littlefield_fountain
69.7,2025-04-25,09:55:59.542,21st_littlefield_fountain
67.9,2025-04-25,09:55:59.752,21st_littlefield_fountain
69.4,2025-04-25,09:55:59.962,21st_littlefield_fountain
69.2,2025-04-25,09:56:00.172,21st_littlefield_fountain
69.9,2025-04-25,09:56:00.382,21st_littlefield_fountain
68.4,2025-04-25,09:56:00.592,21st_littlefield_fountain
68.4,2025-04-25,09:56:00.802,21st_littlefield_fountain
68.2,2025-04-25,09:56:01.012,21st_littlefield_fountain
68.9,2025-04-25,09:56:01.222,21st_littlefield_fountain
69.2,2025-04-25,09:56:01.432,21st_littlefield_fountain
68.7,2025-04-25,09:56:01.642,21st_littlefield_fountain
71.1,2025-04-25,09:56:01.852,21st_littlefield_fountain
70.1,2025-04-25,09:56:02.062,21st_littlefield_fountain
70.2,2025-04-25,09:56:02.272,21st_littlefield_fountain
70.3,2025-04-25,09:56:02.482,21st_littlefield_fountain
66.7,2025-04-25,09:56:02.692,21st_littlefield_fountain
68.4,2025-04-25,09:56:02.902,21st_littlefield_fountain
67.7,2025-04-25,09:56:03.112,21st_littlefield_fountain
68.5,2025-04-25,09:56:03.322,21st_littlefield_fountain
68.2,2025-04-25,09:56:03.532,21st_littlefield_fountain
69.3,2025-04-25,09:56:03.742,21st_littlefield_fountain
67.5,2025-04-25,09:56:03.952,21st_littlefield_fountain
67.1,2025-04-25,09:56:04.162,21st_littlefield_fountain
69.5,2025-04-25,09:56:04.372,21st_littlefield_fountain
69.1,2025-04-25,09:56:04.582,21st_littlefield_fountain
70.5,2025-04-25,09:56:04.792,21st_littlefield_fountain
69.1,2025-04-25,09:56:05.002,21st_littlefield_fountain
68.2,2025-04-25,09:56:05.212,21st_littlefield_fountain
67.4,2025-04-25,09:56:05.422,21st_littlefield_fountain
69.7,2025-04-25,09:56:05.632,21st_littlefield_fountain
70.3,2025-04-25,09:56:05.842,21st_littlefield_fountain
70.8,2025-04-25,09:56:06.052,21st_littlefield_fountain
67.6,2025-04-25,09:56:06.262,21st_littlefield_fountain
72.4,2025-04-25,09:56:06.472,21st_littlefield_fountain
70.7,2025-04-25,09:56:06.682,21st_littlefield_fountain
72.1,2025-04-25,09:56:06.892,21st_littlefield_fountain
66.9,2025-04-25,09:56:07.102,21st_littlefield_fountain
66.2,2025-04-25,09:56:07.312,21st_littlefield_fountain
68.5,2025-04-25,09:56:07.522,21st_littlefield_fountain
67.6,2025-04-25,09:56:07.732,21st_littlefield_fountain
69.0,2025-04-25,09:56:07.942,21st_littlefield_fountain
